x_rel,y_rel,z_rel,r_rel,b_rel,e_rel,x_meas,y_meas,z_meas,r_meas,b_meas,e_meas,x_err,y_err,z_err,r_err,b_meas,e_meas
-25.49652673852563,-32.678986319303135,4.066931008681291,41.64767641075463,-127.9617706589399,5.603911954389457,1.6300207479732762,-10.693016969478549,1.0799834797608836,1.6300207479732762,-10.693016969478549,1.0799834797608836,-27.126547486498907,-21.985969349824586,2.986947528920407,30.777352410756468,-46.62909328971497,-0.09791881200087005
-62.39726433042881,-32.79758162105543,3.7223009286037083,70.59005227589991,-152.2724479369912,3.0226793594182113,1.1411964508567962,-10.602799476149002,0.9278469004759333,1.1411964508567962,-10.602799476149002,0.9278469004759333,-63.53846078128561,-22.194782144906426,2.7944540281277748,59.88572670435657,-68.41563611229203,-1.94993733174547
-63.60041354260329,-33.498597601723304,4.149279546133073,72.00267470604336,-152.2240404697315,3.303599271975259,0.8485724685133391,-10.184589522171947,2.295556941766378,0.8485724685133391,-10.184589522171947,2.295556941766378,-64.44898601111663,-23.314008079551357,1.8537226043666948,61.52815702538879,-66.98688141210938,-9.355886263465397
-63.174586843897146,-35.15761512750203,4.321124542555928,72.42760828346427,-150.9033991397237,3.4203712859434527,0.5256068808580494,-10.961395169849325,0.36883822581999537,0.5256068808580494,-10.961395169849325,0.36883822581999537,-63.700193724755195,-24.1962199576527,3.952286316735933,61.44742211474984,-63.64867073829747,1.495372051053458
-61.36481569053717,-39.99521821162347,6.475624767751116,73.53361000700079,-146.90524344760377,5.052209623323892,0.920600481646261,-11.41426629415976,0.6033587688042237,0.920600481646261,-11.41426629415976,0.6033587688042237,-62.28541617218343,-28.580951917463707,5.872265998946892,62.06639490983392,-61.516367227657625,2.036143264443196
-25.118868610757545,-39.22612584894222,5.312986976925224,46.881492510568926,-122.63390115909502,6.507197501065116,0.8855885979182858,-11.453895946491656,1.2121613775981295,0.8855885979182858,-11.453895946491656,1.2121613775981295,-26.00445720867583,-27.77222990245056,4.100825599327094,35.32963834237751,-37.05508161458437,0.48393764415320817
-21.816990468654467,-69.59330507968244,8.435325308959715,73.41909763876896,-107.40582524342064,6.5974416496206905,0.15587784302101682,-10.027552630578185,-1.809416384730164,0.15587784302101682,-10.027552630578185,-1.809416384730164,-21.972868311675484,-59.56575244910425,10.24474169368988,63.22841084570686,-18.296413761635478,16.824870760450835
-62.48736550846775,-74.5838297394007,8.773536670880675,97.69541162460008,-129.9567413714564,5.152389122308124,0.05492590187668611,-9.80625453302271,-2.101447453100098,0.05492590187668611,-9.80625453302271,-2.101447453100098,-62.54229141034443,-64.77757520637799,10.874984123980774,87.66636749171951,-40.27765792972025,17.24756088430437
-60.65003226894282,-80.0407131844782,12.84875145240801,101.24244463262167,-127.15265711023245,7.291110817225257,0.3987791364684199,-9.737838022496248,0.9425129103008263,0.3987791364684199,-9.737838022496248,0.9425129103008263,-61.04881140541124,-70.30287516198194,11.906238542107184,91.45097667637835,-39.4976952829802,1.7673470320286544
-58.967903276610514,-82.81171076874779,10.228023320520382,102.17438778055653,-125.45360477254323,5.745135846824598,0.5642125285578459,-10.016693083197111,0.7928416387107207,0.5642125285578459,-10.016693083197111,0.7928416387107207,-59.53211580516836,-72.79501768555068,9.435181681809661,92.11053792255368,-38.67751038107973,1.2266263538131277
